〇	981
倁	616
倂	423
倃	291
倄	286
倅	374
倇	217
倊	256
倌	632
倍	4220
倎	305
倏	627
倐	352
倒	14478
倓	459
倔	773
倕	366
倗	531
倘	828
候	1669
倚	1346
倛	370
倜	548
倝	359
倞	440
借	2998
倠	317
倡	788
倢	383
倣	111
値	567
倥	574
倦	993
倧	384
倨	595
倩	1356
倪	1660
倬	565
倭	808
倮	558
倯	369
倰	343
倱	306
倳	568
倴	404
倵	385
倶	493
倷	429
倸	387
倹	296
债	1681
倻	449
值	10062
倾	2016
傀	552
傁	242
傂	285
傃	380
傄	217
傅	1947
傆	489
傇	268
傈	702
傉	395
傊	249
傋	455
傍	1200
傎	364
傏	295
傐	198
傒	458
傓	290
傔	332
傕	509
傗	353
傚	233
傛	528
傜	480
傝	464
傞	437
傟	336
傠	316
傡	209
傣	627
傤	372
傥	534
傧	530
储	1463
傩	642
傪	411
傫	482
催	3190
傮	238
傰	289
傱	336
傲	1383
傶	238
傸	203
傹	365
傺	475
傻	7993
傼	238
傽	263
傿	309
儃	372
儅	49
儆	620
儇	472
儊	385
儋	525
儌	351
儍	631
儑	330
儒	1567
儓	342
儖	366
儗	408
儙	335
儚	499
儛	540
儜	379
儝	191
儞	443
儠	345
儡	469
儢	269
儤	348
儥	243
儦	351
儧	233
儨	344
儩	282
儫	335
儬	414
儮	300
儯	270
儰	471
儱	442
儳	332
儴	453
儵	435
儶	309
儹	382
儽	394
儾	224
儿	16866
冀	1169
冁	379
冂	648
冃	409
冄	563
内	41913
円	689
冇	4150
冈	1194
冉	1166
冋	528
册	2273
再	121531
冎	401
冏	566
冐	392
冒	4098
冓	338
冔	272
冕	731
冖	410
冗	600
冘	417
写	41835
军	6699
农	3178
冝	294
冞	418
冟	300
冠	2237
冡	314
冢	1457
冣	386
冤	1174
冥	1193
冦	395
冨	607
冩	584
冫	476
冬	2792
冭	623
冯	3352
冰	5684
冱	412
冲	10509
决	1765
冴	465
况	1720
冶	1040
冷	7003
冸	274
冹	322
冺	298
冻	1740
冼	810
冽	642
冾	376
冿	395
刀	6269
刁	1050
刂	724
刃	1304
刄	441
刅	417
分	29738
切	10520
刈	657
刉	218
刊	1264
刋	379
刌	268
刍	604
刎	528
刏	228
刐	270
刑	1561
划	1401
刓	345
刔	284
刕	343
刖	563
列	7106
刘	12412
则	29355
刚	34235
创	3576
刜	253
初	5642
刞	229
刟	188
删	5261
刡	236
刢	267
刣	263
判	1948
刦	266
刧	342
刨	1001
利	5815
别	49685
刬	395
刭	459
刮	2770
刯	220
到	297457
刱	242
刲	348
刳	478
刴	295
刵	294
制	6580
刷	15120
券	1818
刹	978
刺	2238
刻	3229
刼	334
刽	445
刿	526
劀	319
劁	393
劂	436
劅	418
劆	248
劈	1203
劋	296
劎	270
劐	378
劒	436
劓	442
劔	331
劕	249
劖	255
劗	266
劘	306
劙	341
力	9926
劜	345
劝	2932
办	18422
功	2912
加	44999
务	1659
劢	617
劣	965
劤	265
劥	366
劦	502
劧	386
动	10386
助	2407
努	1067
劫	1521
劬	565
劭	614
劮	355
劯	286
劰	229
励	911
劲	3590
劳	1896
労	477
劵	636
劶	196
劷	227
劸	262
効	511
劺	202
劻	438
劼	546
劽	267
劾	590
势	1921
一	135314
丁	4862
丂	450
七	7236
丄	679
丅	671
丆	610
万	27689
匀	1053
丈	1033
匁	304
三	27727
匂	420
上	285526
匃	247
下	164421
匄	390
丌	531
包	16275
不	590801
匆	671
与	204064
匇	218
丏	332
匈	626
丐	747
匉	229
丑	4662
匊	353
丒	399
专	3509
匌	281
且	13038
匍	480
丕	775
匎	214
世	4115
匏	558
丗	710
匐	499
丘	1458
匑	238
丙	1420
匒	265
业	6409
匓	253
丛	1297
匔	192
东	9642
匕	667
丝	3369
化	12825
丞	883
北	7350
匘	254
丠	495
匙	860
両	542
匚	566
丢	6453
匛	451
丣	305
匜	457
两	17606
匝	758
严	3212
匞	234
匟	253
丧	1137
匠	957
丨	829
匡	994
丩	377
匢	352
个	247763
匣	837
丫	6079
匤	265
丬	564
匥	205
中	243870
匦	616
丮	455
匧	230
丯	373
匨	344
丰	3174
匩	202
丱	370
匪	1115
串	2189
匫	276
丳	274
匬	335
临	2660
丵	228
匮	602
丶	900
丷	595
匰	422
丸	1817
丹	3242
匲	238
为	212013
匳	296
主	11740
匴	539
丼	473
匵	246
丽	4247
匶	338
举	2981
匷	229
丿	735
匸	438
匹	1158
区	26394
医	2322
匼	436
匽	352
匾	763
匿	753
亀	519
亁	393
亃	311
亄	368
亅	536
了	1512483
亇	630
厀	248
予	1900
争	3411
厂	7608
亊	609
厃	365
事	39845
厄	2966
二	21289
厅	3208
亍	675
历	2630
于	76451
厇	253
亏	6228
厈	286
亐	465
厉	1269
云	10159
厊	454
互	2008
压	5013
亓	719
厌	1075
五	13802
厍	653
井	2864
厎	496
亖	479
厏	251
亗	412
厐	373
亘	789
厒	250
亚	5009
厓	469
些	22871
厔	429
亜	597
厕	848
亝	268
厖	436
厗	387
亟	642
厘	1585
亠	493
亡	1500
厚	3898
亢	806
亣	469
厜	435
交	15564
厝	715
亥	825
厞	360
亦	6363
原	12104
产	3494
亨	1175
厡	517
亩	2028
厢	1103
亪	320
厣	598
享	1385
京	3214
厥	784
亭	2147
厦	1135
亮	5238
厧	286
亯	322
厨	1175
亰	454
厩	674
亱	518
厪	264
亲	7741
厫	298
亳	599
厬	271
亴	382
亵	593
厮	839
亶	504
厯	274
亷	318
厰	426
亸	391
厱	276
亹	443
人	250956
厳	445
亻	656
亼	758
亽	654
厶	652
亾	641
厷	637
亿	9467
厸	477
厹	422
厺	448
去	331354
厼	551
厽	335
厾	563
县	8575
伀	421
企	2009
伂	246
伃	386
伄	344
伅	475
伆	403
伇	252
吀	370
伈	634
吁	1298
伉	481
吂	471
伊	4667
吃	97776
伋	452
各	29921
伌	280
吅	444
伍	1830
吆	687
伎	709
吇	581
伏	1600
合	7852
伐	11441
吉	3356
休	2916
吊	3545
伒	384
吋	777
伓	387
同	25573
伔	345
名	22727
伕	50
后	138921
伖	512
吏	940
众	5079
吐	3614
优	2913
向	53695
伙	1619
会	209833
吓	4060
伛	435
吔	645
伜	283
吕	3143
伝	595
吖	4107
伞	1985
吗	221081
伟	3419
吘	387
传	15742
吙	508
伡	425
吚	462
伢	725
君	5859
伣	316
吜	429
伤	6467
吝	685
伥	548
吞	1503
伦	2150
吟	1460
伧	498
吠	726
伨	324
吡	732
吢	641
伪	1749
伫	623
吤	392
伬	354
吥	865
伭	326
否	4707
伮	396
吧	385554
伯	2435
吨	3059
估	1122
吩	576
伱	807
吪	408
伲	565
含	6090
伳	350
听	32332
伴	2455
吭	784
伵	231
吮	729
伶	833
启	3741
伷	370
吰	369
伸	1756
吱	780
伹	337
吲	528
伺	681
伻	269
吴	8187
似	4743
吵	3348
伽	1056
伾	457
吷	424
伿	442
吸	2899
吹	5974
吺	390
吻	2640
吼	2142
吽	570
吾	5767
吿	491
侀	488
侁	386
侂	386
侃	1234
侄	749
侅	392
侇	300
咀	794
侈	563
咁	5982
侉	459
咂	731
侊	435
咃	547
例	3512
咄	556
侌	341
咅	282
侍	1085
咆	545
侎	456
咇	375
侏	511
咈	340
侐	328
咉	286
侑	758
咊	442
侒	486
咋	13090
侓	437
和	665031
侔	546
咍	366
侕	525
咎	739
咏	1438
侗	705
咐	543
侘	469
咑	572
侙	230
咒	1374
咓	386
供	5671
咔	856
侜	311
咕	729
依	4223
咖	1591
侞	555
侟	400
咘	513
侠	1662
咙	569
価	546
咚	805
侢	563
咛	595
侣	888
咜	570
咝	607
侥	651
咞	239
侦	751
咟	403
侧	3046
咠	264
侨	1072
咡	425
侩	587
咢	345
侪	538
咣	659
侫	345
咤	674
侬	2673
咥	431
侭	381
咦	1237
侮	599
咧	4230
侯	3601
咨	1323
侰	224
咩	8995
侱	265
咪	2141
侲	328
咫	620
侳	453
咬	4350
侴	355
咭	592
侵	1082
咮	395
咯	29715
咰	302
侸	412
咱	6321
侹	385
咲	630
侺	270
咳	2195
侻	314
咴	566
侼	278
咵	423
侽	601
咶	328
侾	294
便	17499
咸	2509
咹	503
咺	336
咻	622
咽	1737
咾	568
咿	693
唀	275
唁	554
唂	360
唃	350
唅	379
唆	946
唇	2314
唈	248
唉	28137
唊	348
唋	238
唌	305
唍	526
唎	553
唏	624
唐	5379
唑	877
唒	269
唔	13475
唕	370
唖	480
唗	324
唘	224
唙	273
唚	592
唛	693
唝	340
唞	405
唠	791
唡	402
唢	419
唣	323
唤	1266
唦	513
唧	708
唩	408
唪	406
唫	487
唬	774
唭	462
售	2228
唯	2608
唰	677
唱	8606
唲	571
唳	609
唴	451
唵	576
唶	392
唷	880
唹	371
唺	267
唻	625
唼	414
唽	383
唾	625
唿	509
喀	936
喁	477
喂	7199
喃	2122
善	3484
喅	390
喆	773
喇	2908
喈	667
喉	1225
喊	7960
喋	584
喌	439
喍	387
喏	812
喐	473
喑	591
喒	396
喓	644
喔	6253
喕	471
喖	348
喗	278
喘	1249
喙	695
喛	335
喜	4400
喝	16156
喞	522
喟	543
喠	471
喡	354
喢	247
喣	295
喤	424
喥	526
喦	403
喧	857
喨	470
喩	343
喭	293
喯	376
喰	493
喱	652
喳	641
喴	334
喵	1377
営	497
喷	2844
喹	630
喺	801
喻	1512
喼	399
喽	3597
喾	541
喿	331
嘀	867
嘁	598
嘂	490
嘃	199
嘄	308
嘅	836
嘇	340
嘈	739
嘉	2924
嘊	297
嘋	386
嘌	684
嘎	4357
嘏	534
嘐	308
嘑	344
嘒	365
嘕	231
嘘	1117
嘙	567
嘛	71478
嘝	224
嘞	1462
嘟	948
嘢	749
嘣	663
嘤	572
嘥	451
嘦	403
嘧	581
嘨	336
嘫	600
嘬	637
嘭	597
嘱	725
嘲	753
嘴	5410
嘶	730
嘷	284
嘹	595
嘻	813
嘼	348
嘾	240
嘿	3151
嚁	239
嚂	338
嚃	266
嚄	643
嚅	501
嚆	390
嚈	363
嚉	346
嚊	244
嚋	205
嚍	257
嚎	860
嚏	496
嚓	580
嚔	259
嚖	372
嚗	433
嚘	316
嚚	351
嚜	486
嚝	207
嚞	361
嚟	714
嚠	376
嚢	387
嚣	719
嚩	515
嚪	280
嚫	381
嚬	364
嚭	503
嚯	606
嚱	429
嚵	255
嚷	875
嚻	363
嚼	1319
嚾	265
嚿	395
圀	407
圁	388
圂	368
圃	780
圄	508
圅	345
圆	3694
圈	4532
圉	580
圊	531
圌	382
圎	422
圏	534
圐	403
圑	350
圔	314
圗	363
圚	372
圛	314
圜	582
圝	525
土	5940
圠	301
圡	409
圢	269
圣	3841
圤	344
圥	357
圦	319
圧	620
在	974219
圩	801
圪	589
圫	238
圬	467
圭	912
圮	565
圯	551
地	137626
圱	352
圲	252
圳	675
圴	398
圵	412
圶	239
圷	456
圸	304
圹	842
场	6601
圻	642
圼	270
圽	226
圾	549
圿	322
垀	397
垁	286
垂	1537
垃	607
垄	747
垅	658
垆	491
垇	332
垈	336
垉	416
型	15224
垌	575
垍	438
垎	463
垏	336
垐	340
垑	218
垒	1298
垓	523
垔	334
垕	465
垖	236
垗	437
垘	232
垙	411
垚	608
垛	729
垜	478
垝	418
垞	412
垟	638
垠	699
垡	559
垢	898
垣	840
垤	446
垥	215
垦	827
垧	462
垨	522
垩	549
垪	397
垫	1852
垬	419
垭	646
垮	1187
垯	437
垰	442
垱	477
垲	438
垳	467
垴	507
垵	418
垶	344
垷	332
垸	563
垹	345
垺	358
垻	386
垼	268
垽	333
垾	379
垿	348
堀	640
堁	286
堂	4216
堃	563
堄	325
堆	2999
堇	670
堈	314
堉	347
堋	555
堌	396
堍	500
堎	433
堐	327
堑	701
堔	507
堕	951
堗	358
堘	275
堙	483
堛	398
堜	468
堞	490
堟	475
堠	523
堡	1712
堢	432
堣	445
堤	1201
堥	452
堦	411
堧	432
堨	442
堩	290
堪	1276
堫	240
堬	371
堭	317
堮	321
堰	941
堲	267
堳	253
堵	2036
堶	260
堷	436
堸	337
堹	251
堺	596
堻	267
堼	297
堽	422
堾	287
墀	533
墁	473
墂	206
境	1549
墄	245
墅	835
墆	253
墇	262
墈	396
墉	710
墋	251
墌	285
墍	415
墎	327
墏	260
墐	298
墒	728
墓	1711
墔	237
墕	343
墖	436
増	584
墘	424
墙	4229
墚	399
墝	385
增	3479
墟	745
墠	463
墡	335
墢	266
墣	367
墤	332
墥	251
墦	410
墧	255
墨	2378
墩	1118
墪	266
墬	418
墭	376
墯	344
墱	265
墴	218
墵	371
墷	278
墸	332
墹	379
墺	389
墼	489
墽	379
墿	450
夁	252
夂	608
夃	451
处	14701
夅	330
夆	360
备	2480
夈	385
変	643
夊	606
夋	511
夌	483
复	2961
夎	448
夏	5360
夐	495
夒	327
夓	334
夔	656
夕	1408
外	21373
夗	308
夘	356
夙	659
多	154899
夛	466
夜	6027
夝	341
够	16040
夡	269
夣	468
夤	546
夦	420
大	107094
夨	608
天	44972
太	72029
夫	3553
夬	542
夭	775
央	1174
夯	756
夰	327
失	2632
夲	703
夳	363
头	21237
夵	403
夶	568
夷	1154
夸	2988
夹	3219
夺	1883
夼	530
夽	272
夿	468
妀	440
妁	489
如	38846
妃	1572
妄	936
妅	242
妆	1668
妇	1397
妈	10749
妉	282
妊	623
妋	352
妌	281
妍	1846
妎	374
妏	456
妐	276
妑	536
妒	804
妓	891
妔	277
妕	445
妖	2468
妗	614
妘	413
妙	2162
妚	441
妛	298
妜	316
妞	2212
妟	367
妠	386
妡	418
妢	462
妣	550
妤	728
妥	1081
妦	325
妧	451
妨	855
妩	602
妪	519
妫	623
妬	387
妭	386
妮	1922
妯	443
妰	201
妱	379
妲	617
